"title","rental_rate","rental_rate_category"
"Birch Antitrust","4.99","High"
"Bird Independence","4.99","High"
"Birdcage Casper","0.99","Low"
"Birds Perdition","4.99","High"
"Blackout Private","2.99","Medium"
"Blade Polish","0.99","Low"
"Blanket Beverly","2.99","Medium"
"Blindness Gun","4.99","High"
"Blood Argonauts","0.99","Low"
"Blues Instinct","2.99","Medium"
"Boiled Dares","4.99","High"
"Bonnie Holocaust","0.99","Low"
"Boogie Amelie","4.99","High"
"Boondock Ballroom","0.99","Low"
"Born Spinal","4.99","High"
"Borrowers Bedazzled","0.99","Low"
"Boulevard Mob","0.99","Low"
"Bound Cheaper","0.99","Low"
"Bowfinger Gables","4.99","High"
"Brannigan Sunrise","4.99","High"
"Braveheart Human","2.99","Medium"
"Breakfast Goldfinger","4.99","High"
"Breaking Home","2.99","Medium"
"Bride Intrigue","0.99","Low"
"Bringing Hysterical","2.99","Medium"
"Brooklyn Desert","4.99","High"
"Brotherhood Blanket","0.99","Low"
"Bubble Grosse","4.99","High"
"Bucket Brotherhood","4.99","High"
"Bugsy Song","2.99","Medium"
"Bull Shawshank","0.99","Low"
"Bulworth Commandments","2.99","Medium"
"Bunch Minds","2.99","Medium"
"Butch Panther","0.99","Low"
"Butterfly Chocolat","0.99","Low"
"Cabin Flash","0.99","Low"
"Caddyshack Jedi","0.99","Low"
"Calendar Gunfight","4.99","High"
"California Birds","4.99","High"
"Camelot Vacation","0.99","Low"
"Campus Remember","2.99","Medium"
"Candidate Perdition","2.99","Medium"
"Candles Grapes","4.99","High"
"Canyon Stock","0.99","Low"
"Caper Motions","0.99","Low"
"Caribbean Liberty","4.99","High"
"Carol Texas","2.99","Medium"
"Carrie Bunch","0.99","Low"
"Casablanca Super","4.99","High"
"Casper Dragonfly","4.99","High"
"Cassidy Wyoming","2.99","Medium"
"Cat Coneheads","4.99","High"
"Catch Amistad","0.99","Low"
"Cause Date","2.99","Medium"
"Celebrity Horn","0.99","Low"
"Center Dinosaur","4.99","High"
"Chainsaw Uptown","0.99","Low"
"Champion Flatliners","4.99","High"
"Chance Resurrection","2.99","Medium"
"Clash Freddy","2.99","Medium"
"Chaplin License","2.99","Medium"
"Charade Duffel","2.99","Medium"
"Chariots Conspiracy","2.99","Medium"
"Chasing Fight","4.99","High"
"Cheaper Clyde","0.99","Low"
"Chicago North","4.99","High"
"Chicken Hellfighters","0.99","Low"
"Chill Luck","0.99","Low"
"Chinatown Gladiator","4.99","High"
"Chisum Behavior","4.99","High"
"Chitty Lock","2.99","Medium"
"Chocolat Harry","0.99","Low"
"Chocolate Duck","2.99","Medium"
"Christmas Moonshine","0.99","Low"
"Cider Desire","2.99","Medium"
"Cincinatti Whisperer","4.99","High"
"Circus Youth","2.99","Medium"
"Citizen Shrek","0.99","Low"
"Cleopatra Devil","0.99","Low"
"Clerks Angels","4.99","High"
"Clockwork Paradise","0.99","Low"
"Clones Pinocchio","2.99","Medium"
"Closer Bang","4.99","High"
"Club Graffiti","0.99","Low"
"Clue Grail","4.99","High"
"Clueless Bucket","2.99","Medium"
"Clyde Theory","0.99","Low"
"Coast Rainbow","0.99","Low"
"Core Suit","2.99","Medium"
"Coldblooded Darling","4.99","High"
"Color Philadelphia","2.99","Medium"
"Coma Head","4.99","High"
"Comancheros Enemy","0.99","Low"
"Comforts Rush","2.99","Medium"
"Command Darling","4.99","High"
"Commandments Express","4.99","High"
"Coneheads Smoochy","4.99","High"
"Confessions Maguire","4.99","High"
"Confidential Interview","4.99","High"
"Confused Candles","2.99","Medium"
"Congeniality Quest","0.99","Low"
"Connecticut Tramp","4.99","High"
"Connection Microcosmos","0.99","Low"
"Conquerer Nuts","4.99","High"
"Conspiracy Spirit","2.99","Medium"
"Contact Anonymous","2.99","Medium"
"Control Anthem","4.99","High"
"Conversation Downhill","4.99","High"
"Cowboy Doom","2.99","Medium"
"Craft Outfield","0.99","Low"
"Cranes Reservoir","2.99","Medium"
"Crazy Home","2.99","Medium"
"Creatures Shakespeare","0.99","Low"
"Creepers Kane","4.99","High"
"Crooked Frogmen","0.99","Low"
"Crossing Divorce","4.99","High"
"Crossroads Casualties","2.99","Medium"
"Crow Grease","0.99","Low"
"Crowds Telemark","4.99","High"
"Cruelty Unforgiven","0.99","Low"
"Crusade Honey","2.99","Medium"
"Crystal Breaking","2.99","Medium"
"Cupboard Sinners","2.99","Medium"
"Curtain Videotape","0.99","Low"
"Cyclone Family","2.99","Medium"
"Daddy Pittsburgh","4.99","High"
"Daisy Menagerie","4.99","High"
"Dalmations Sweden","0.99","Low"
"Dances None","0.99","Low"
"Dancing Fever","0.99","Low"
"Dangerous Uptown","4.99","High"
"Dares Pluto","2.99","Medium"
"Darkness War","2.99","Medium"
"Darko Dorado","4.99","High"
"Darling Breaking","4.99","High"
"Darn Forrester","4.99","High"
"Daughter Madigan","4.99","High"
"Dawn Pond","4.99","High"
"Day Unfaithful","4.99","High"
"Dazed Punk","4.99","High"
"Deceiver Betrayed","0.99","Low"
"Deep Crusade","4.99","High"
"Deer Virginian","2.99","Medium"
"Deliverance Mulholland","0.99","Low"
"Desert Poseidon","4.99","High"
"Desire Alien","2.99","Medium"
"Desperate Trainspotting","4.99","High"
"Destination Jerk","0.99","Low"
"Destiny Saturday","4.99","High"
"Details Packer","4.99","High"
"Detective Vision","0.99","Low"
"Devil Desire","4.99","High"
"Diary Panic","2.99","Medium"
"Dinosaur Secretary","2.99","Medium"
"Dirty Ace","2.99","Medium"
"Disciple Mother","0.99","Low"
"Disturbing Scarface","2.99","Medium"
"Divide Monster","2.99","Medium"
"Divine Resurrection","2.99","Medium"
"Divorce Shining","2.99","Medium"
"Doctor Grail","2.99","Medium"
"Dogma Family","4.99","High"
"Dolls Rage","2.99","Medium"
"Donnie Alley","0.99","Low"
"Doom Dancing","0.99","Low"
"Doors President","4.99","High"
"Dorado Notting","4.99","High"
"Double Wrath","0.99","Low"
"Doubtfire Labyrinth","4.99","High"
"Downhill Enough","0.99","Low"
"Dozen Lion","4.99","High"
"Dracula Crystal","0.99","Low"
"Dragon Squad","0.99","Low"
"Dragonfly Strangers","4.99","High"
"Dream Pickup","2.99","Medium"
"Drifter Commandments","4.99","High"
"Driver Annie","2.99","Medium"
"Driving Polish","4.99","High"
"Drop Waterfront","4.99","High"
"Drumline Cyclone","0.99","Low"
"Drums Dynamite","0.99","Low"
"Duck Racer","2.99","Medium"
"Dude Blindness","4.99","High"
"Duffel Apocalypse","0.99","Low"
"Dumbo Lust","0.99","Low"
"Durham Panky","4.99","High"
"Dwarfs Alter","2.99","Medium"
"Dynamite Tarzan","0.99","Low"
"Eagles Panky","4.99","High"
"Early Home","4.99","High"
"Earring Instinct","0.99","Low"
"Earth Vision","0.99","Low"
"Easy Gladiator","4.99","High"
"Edge Kissing","4.99","High"
"Effect Gladiator","0.99","Low"
"Egg Igby","2.99","Medium"
"Egypt Tenenbaums","0.99","Low"
"Element Freddy","4.99","High"
"Elephant Trojan","4.99","High"
"Elf Murder","4.99","High"
"Elizabeth Shane","4.99","High"
"Empire Malkovich","0.99","Low"
"Encino Elf","0.99","Low"
"Encounters Curtain","0.99","Low"
"Ending Crowds","0.99","Low"
"Enemy Odds","4.99","High"
"English Bulworth","0.99","Low"
"Enough Raging","2.99","Medium"
"Entrapment Satisfaction","0.99","Low"
"Escape Metropolis","2.99","Medium"
"Eve Resurrection","4.99","High"
"Everyone Craft","0.99","Low"
"Evolution Alter","0.99","Low"
"Excitement Eve","0.99","Low"
"Exorcist Sting","2.99","Medium"
"Expecations Natural","4.99","High"
"Expendable Stallion","0.99","Low"
"Express Lonely","2.99","Medium"
"Extraordinary Conquerer","2.99","Medium"
"Eyes Driving","2.99","Medium"
"Factory Dragon","0.99","Low"
"Falcon Volume","4.99","High"
"Family Sweet","0.99","Low"
"Fantasia Park","2.99","Medium"
"Fantasy Troopers","0.99","Low"
"Fargo Gandhi","2.99","Medium"
"Fatal Haunted","2.99","Medium"
"Feathers Metal","0.99","Low"
"Fellowship Autumn","4.99","High"
"Ferris Mother","2.99","Medium"
"Feud Frogmen","0.99","Low"
"Fever Empire","4.99","High"
"Fiction Christmas","0.99","Low"
"Fiddler Lost","4.99","High"
"Fidelity Devil","4.99","High"
"Fight Jawbreaker","0.99","Low"
"Finding Anaconda","0.99","Low"
"Fire Wolves","4.99","High"
"Fireball Philadelphia","0.99","Low"
"Firehouse Vietnam","0.99","Low"
"Fish Opus","2.99","Medium"
"Flamingos Connecticut","4.99","High"
"Flash Wars","4.99","High"
"Flatliners Killer","2.99","Medium"
"Flight Lies","4.99","High"
"Flintstones Happiness","4.99","High"
"Floats Garden","2.99","Medium"
"Flying Hook","2.99","Medium"
"Fool Mockingbird","4.99","High"
"Forever Candidate","2.99","Medium"
"Forrest Sons","2.99","Medium"
"Forrester Comancheros","4.99","High"
"Forward Temple","2.99","Medium"
"Frankenstein Stranger","0.99","Low"
"Freaky Pocus","2.99","Medium"
"Freddy Storm","4.99","High"
"Freedom Cleopatra","0.99","Low"
"French Holiday","4.99","High"
"Frida Slipper","2.99","Medium"
"Frisco Forrest","4.99","High"
"Frogmen Breaking","0.99","Low"
"Frontier Cabin","4.99","High"
"Frost Head","0.99","Low"
"Fugitive Maguire","4.99","High"
"Full Flatliners","2.99","Medium"
"Fury Murder","0.99","Low"
"Gables Metropolis","0.99","Low"
"Galaxy Sweethearts","4.99","High"
"Games Bowfinger","4.99","High"
"Gandhi Kwai","0.99","Low"
"Gangs Pride","2.99","Medium"
"Garden Island","4.99","High"
"Gaslight Crusade","2.99","Medium"
"Gathering Calendar","0.99","Low"
"Gentlemen Stage","2.99","Medium"
"Ghost Groundhog","4.99","High"
"Ghostbusters Elf","0.99","Low"
"Giant Troopers","2.99","Medium"
"Gilbert Pelican","0.99","Low"
"Gilmore Boiled","0.99","Low"
"Gladiator Westward","4.99","High"
"Glass Dying","0.99","Low"
"Gleaming Jawbreaker","2.99","Medium"
"Glory Tracy","2.99","Medium"
"Go Purple","0.99","Low"
"Godfather Diary","2.99","Medium"
"Gold River","4.99","High"
"Goldfinger Sensibility","0.99","Low"
"Goldmine Tycoon","0.99","Low"
"Gone Trouble","2.99","Medium"
"Goodfellas Salute","4.99","High"
"Gorgeous Bingo","2.99","Medium"
"Gosford Donnie","4.99","High"
"Graceland Dynamite","4.99","High"
"Graduate Lord","2.99","Medium"
"Graffiti Love","0.99","Low"
"Grail Frankenstein","2.99","Medium"
"Grapes Fury","0.99","Low"
"Grease Youth","0.99","Low"
"Greatest North","2.99","Medium"
"Greedy Roots","0.99","Low"
"Greek Everyone","2.99","Medium"
"Grinch Massage","4.99","High"
"Grit Clockwork","0.99","Low"
"Groove Fiction","0.99","Low"
"Groundhog Uncut","4.99","High"
"Gump Date","4.99","High"
"Gun Bonnie","0.99","Low"
"Gunfight Moon","0.99","Low"
"Gunfighter Mussolini","2.99","Medium"
"Guys Falcon","4.99","High"
"Half Outfield","2.99","Medium"
"Hall Cassidy","4.99","High"
"Halloween Nuts","2.99","Medium"
"Hamlet Wisdom","2.99","Medium"
"Identity Lover","2.99","Medium"
"Handicap Boondock","0.99","Low"
"Hanging Deep","4.99","High"
"Hanky October","2.99","Medium"
"Hanover Galaxy","4.99","High"
"Happiness United","2.99","Medium"
"Hardly Robbers","2.99","Medium"
"Harold French","0.99","Low"
"Harper Dying","0.99","Low"
"Harry Idaho","4.99","High"
"Hate Handicap","0.99","Low"
"Haunted Antitrust","4.99","High"
"Haunting Pianist","0.99","Low"
"Hawk Chill","0.99","Low"
"Head Stranger","4.99","High"
"Heartbreakers Bright","4.99","High"
"Heaven Freedom","2.99","Medium"
"Heavenly Gun","4.99","High"
"Heavyweights Beast","4.99","High"
"Hedwig Alter","2.99","Medium"
"Hellfighters Sierra","2.99","Medium"
"High Encino","2.99","Medium"
"Highball Potter","0.99","Low"
"Hills Neighbors","0.99","Low"
"Hobbit Alien","0.99","Low"
"Hocus Frida","2.99","Medium"
"Holes Brannigan","4.99","High"
"Holiday Games","4.99","High"
"Hollow Jeopardy","4.99","High"
"Hollywood Anonymous","0.99","Low"
"Holocaust Highball","0.99","Low"
"Holy Tadpole","0.99","Low"
"Home Pity","4.99","High"
"Homeward Cider","0.99","Low"
"Homicide Peach","2.99","Medium"
"Honey Ties","0.99","Low"
"Hook Chariots","0.99","Low"
"Idols Snatchers","2.99","Medium"
"Hoosiers Birdcage","2.99","Medium"
"Hope Tootsie","2.99","Medium"
"Horn Working","2.99","Medium"
"Horror Reign","0.99","Low"
"Hotel Happiness","4.99","High"
"Hours Rage","0.99","Low"
"House Dynamite","2.99","Medium"
"Human Graffiti","2.99","Medium"
"Hunchback Impossible","4.99","High"
"Hunger Roof","0.99","Low"
"Hunter Alter","2.99","Medium"
"Hunting Musketeers","2.99","Medium"
"Hurricane Affair","2.99","Medium"
"Hustler Party","4.99","High"
"Hyde Doctor","2.99","Medium"
"Hysterical Grail","4.99","High"
"Ice Crossing","2.99","Medium"
"Idaho Love","2.99","Medium"
"Igby Maker","4.99","High"
"Illusion Amelie","0.99","Low"
"Image Princess","2.99","Medium"
"Impact Aladdin","0.99","Low"
"Impossible Prejudice","4.99","High"
"Inch Jet","4.99","High"
"Independence Hotel","0.99","Low"
"Indian Love","0.99","Low"
"Informer Double","4.99","High"
"Innocent Usual","4.99","High"
"Insects Stone","0.99","Low"
"Insider Arizona","2.99","Medium"
"Instinct Airport","2.99","Medium"
"Intentions Empire","2.99","Medium"
"Interview Liaisons","4.99","High"
"Intolerable Intentions","4.99","High"
"Intrigue Worst","0.99","Low"
"Invasion Cyclone","2.99","Medium"
"Iron Moon","4.99","High"
"Ishtar Rocketeer","4.99","High"
"Island Exorcist","2.99","Medium"
"Italian African","4.99","High"
"Jacket Frisco","2.99","Medium"
"Jade Bunch","2.99","Medium"
"Japanese Run","0.99","Low"
"Jason Trap","2.99","Medium"
"Jawbreaker Brooklyn","0.99","Low"
"Jaws Harry","2.99","Medium"
"Jedi Beneath","0.99","Low"
"Jeepers Wedding","2.99","Medium"
"Jekyll Frogmen","2.99","Medium"
"Jeopardy Encino","0.99","Low"
"Jericho Mulan","2.99","Medium"
"Jerk Paycheck","2.99","Medium"
"Jersey Sassy","4.99","High"
"Jet Neighbors","4.99","High"
"Jingle Sagebrush","4.99","High"
"Joon Northwest","0.99","Low"
"Juggler Hardly","0.99","Low"
"Jumanji Blade","2.99","Medium"
"Jumping Wrath","0.99","Low"
"Jungle Closer","0.99","Low"
"Kane Exorcist","0.99","Low"
"Karate Moon","0.99","Low"
"Kentuckian Giant","2.99","Medium"
"Kick Savannah","0.99","Low"
"Kill Brotherhood","0.99","Low"
"Killer Innocent","2.99","Medium"
"King Evolution","4.99","High"
"Kiss Glory","4.99","High"
"Kissing Dolls","4.99","High"
"Knock Warlock","2.99","Medium"
"Kramer Chocolate","2.99","Medium"
"Kwai Homeward","0.99","Low"
"Labyrinth League","2.99","Medium"
"Rush Goodfellas","0.99","Low"
"Lady Stage","4.99","High"
"Ladybugs Armageddon","0.99","Low"
"Lambs Cincinatti","4.99","High"
"Language Cowboy","0.99","Low"
"Lawless Vision","4.99","High"
"Lawrence Love","0.99","Low"
"League Hellfighters","4.99","High"
"Leathernecks Dwarfs","2.99","Medium"
"Lebowski Soldiers","2.99","Medium"
"Legally Secretary","4.99","High"
"Legend Jedi","0.99","Low"
"Lesson Cleopatra","0.99","Low"
"Liaisons Sweet","4.99","High"
"Liberty Magnificent","2.99","Medium"
"License Weekend","2.99","Medium"
"Lies Treatment","4.99","High"
"Life Twisted","2.99","Medium"
"Lights Deer","0.99","Low"
"Mars Roman","0.99","Low"
"Lion Uncut","0.99","Low"
"Loathing Legally","0.99","Low"
"Lock Rear","2.99","Medium"
"Lola Agent","4.99","High"
"Lolita World","2.99","Medium"
"Lonely Elephant","2.99","Medium"
"Lord Arizona","2.99","Medium"
"Lose Inch","0.99","Low"
"Loser Hustler","4.99","High"
"Lost Bird","2.99","Medium"
"Louisiana Harry","0.99","Low"
"Love Suicides","0.99","Low"
"Lovely Jingle","2.99","Medium"
"Lover Truman","2.99","Medium"
"Loverboy Attacks","0.99","Low"
"Luck Opus","2.99","Medium"
"Lucky Flying","2.99","Medium"
"Luke Mummy","2.99","Medium"
"Mask Peach","2.99","Medium"
"Lust Lock","2.99","Medium"
"Madigan Dorado","4.99","High"
"Madison Trap","2.99","Medium"
"Madness Attacks","0.99","Low"
"Madre Gables","2.99","Medium"
"Magic Mallrats","0.99","Low"
"Magnificent Chitty","2.99","Medium"
"Magnolia Forrester","0.99","Low"
"Maguire Apache","2.99","Medium"
"Maiden Home","4.99","High"
"Majestic Floats","0.99","Low"
"Maker Gables","0.99","Low"
"Malkovich Pet","2.99","Medium"
"Mallrats United","0.99","Low"
"Maltese Hope","4.99","High"
"Manchurian Curtain","2.99","Medium"
"Mannequin Worst","2.99","Medium"
"Married Go","2.99","Medium"
"Masked Bubble","0.99","Low"
"Massacre Usual","4.99","High"
"Massage Image","2.99","Medium"
"Matrix Snowman","4.99","High"
"Maude Mod","0.99","Low"
"Meet Chocolate","2.99","Medium"
"Memento Zoolander","4.99","High"
"Menagerie Rushmore","2.99","Medium"
"Mermaid Insects","4.99","High"
"Metal Armageddon","2.99","Medium"
"Metropolis Coma","2.99","Medium"
"Microcosmos Paradise","2.99","Medium"
"Midnight Westward","0.99","Low"
"Midsummer Groundhog","4.99","High"
"Mighty Luck","2.99","Medium"
"Mile Mulan","0.99","Low"
"Million Ace","4.99","High"
"Minds Truman","4.99","High"
"Mine Titans","4.99","High"
"Minority Kiss","0.99","Low"
"Miracle Virtual","2.99","Medium"
"Mission Zoolander","4.99","High"
"Mixed Doors","2.99","Medium"
"Mob Duffel","0.99","Low"
"Mockingbird Hollywood","0.99","Low"
"Mod Secretary","4.99","High"
"Model Fish","4.99","High"
"Modern Dorado","0.99","Low"
"Money Harold","2.99","Medium"
"Monsoon Cause","4.99","High"
"Monster Spartacus","2.99","Medium"
"Monterey Labyrinth","0.99","Low"
"Montezuma Command","0.99","Low"
"Moon Bunch","0.99","Low"
"Moonshine Cabin","4.99","High"
"Moonwalker Fool","4.99","High"
"Mosquito Armageddon","0.99","Low"
"Mother Oleander","0.99","Low"
"Motions Details","0.99","Low"
"Moulin Wake","0.99","Low"
"Mourning Purple","0.99","Low"
"Movie Shakespeare","4.99","High"
"Mulan Moon","0.99","Low"
"Mulholland Beast","2.99","Medium"
"Mummy Creatures","0.99","Low"
"Muppet Mile","4.99","High"
"Murder Antitrust","2.99","Medium"
"Muscle Bright","2.99","Medium"
"Music Boondock","0.99","Low"
"Musketeers Wait","4.99","High"
"Mussolini Spoilers","2.99","Medium"
"Mystic Truman","0.99","Low"
"Name Detective","4.99","High"
"Nash Chocolat","2.99","Medium"
"National Story","2.99","Medium"
"Natural Stock","0.99","Low"
"Necklace Outbreak","0.99","Low"
"Neighbors Charade","0.99","Low"
"Nemo Campus","2.99","Medium"
"Network Peak","2.99","Medium"
"Newsies Story","0.99","Low"
"Newton Labyrinth","0.99","Low"
"Nightmare Chill","4.99","High"
"None Spiking","0.99","Low"
"Noon Papi","2.99","Medium"
"North Tequila","4.99","High"
"Northwest Polish","2.99","Medium"
"Notorious Reunion","0.99","Low"
"Notting Speakeasy","0.99","Low"
"Novocaine Flight","0.99","Low"
"Nuts Ties","4.99","High"
"October Submarine","4.99","High"
"Odds Boogie","0.99","Low"
"Oklahoma Jumanji","0.99","Low"
"Oleander Clue","0.99","Low"
"Open African","4.99","High"
"Operation Operation","2.99","Medium"
"Opposite Necklace","4.99","High"
"Opus Ice","4.99","High"
"Orange Grapes","0.99","Low"
"Order Betrayed","2.99","Medium"
"Orient Closer","2.99","Medium"
"Oscar Gold","2.99","Medium"
"Others Soup","2.99","Medium"
"Outbreak Divine","0.99","Low"
"Outfield Massacre","0.99","Low"
"Outlaw Hanky","4.99","High"
"Oz Liaisons","2.99","Medium"
"Pacific Amistad","0.99","Low"
"Packer Madigan","0.99","Low"
"Pajama Jawbreaker","0.99","Low"
"Panic Club","4.99","High"
"Panky Submarine","4.99","High"
"Panther Reds","4.99","High"
"Papi Necklace","0.99","Low"
"Paradise Sabrina","2.99","Medium"
"Paris Weekend","2.99","Medium"
"Park Citizen","4.99","High"
"Party Knock","2.99","Medium"
"Past Suicides","4.99","High"
"Paths Control","4.99","High"
"Patient Sister","0.99","Low"
"Patriot Roman","2.99","Medium"
"Patton Interview","2.99","Medium"
"Paycheck Wait","4.99","High"
"Peach Innocent","2.99","Medium"
"Peak Forever","4.99","High"
"Pearl Destiny","2.99","Medium"
"Pelican Comforts","4.99","High"
"Perdition Fargo","4.99","High"
"Perfect Groove","2.99","Medium"
"Personal Ladybugs","0.99","Low"
"Pet Haunting","0.99","Low"
"Phantom Glory","2.99","Medium"
"Philadelphia Wife","4.99","High"
"Pianist Outfield","0.99","Low"
"Pickup Driving","2.99","Medium"
"Pilot Hoosiers","2.99","Medium"
"Pinocchio Simon","4.99","High"
"Pirates Roxanne","0.99","Low"
"Pittsburgh Hunchback","4.99","High"
"Pity Bound","4.99","High"
"Pizza Jumanji","2.99","Medium"
"Platoon Instinct","4.99","High"
"Pluto Oleander","4.99","High"
"Pocus Pulp","0.99","Low"
"Polish Brooklyn","0.99","Low"
"Pollock Deliverance","2.99","Medium"
"Pond Seattle","2.99","Medium"
"Poseidon Forever","4.99","High"
"Potluck Mixed","2.99","Medium"
"Potter Connecticut","2.99","Medium"
"Prejudice Oleander","4.99","High"
"President Bang","4.99","High"
"Pride Alamo","0.99","Low"
"Primary Glass","0.99","Low"
"Princess Giant","2.99","Medium"
"Private Drop","4.99","High"
"Prix Undefeated","2.99","Medium"
"Psycho Shrunk","2.99","Medium"
"Pulp Beverly","2.99","Medium"
"Punk Divorce","4.99","High"
"Pure Runner","2.99","Medium"
"Purple Movie","2.99","Medium"
"Queen Luke","4.99","High"
"Quest Mussolini","2.99","Medium"
"Quills Bull","4.99","High"
"Racer Egg","2.99","Medium"
"Rage Games","4.99","High"
"Raging Airplane","4.99","High"
"Raiders Antitrust","0.99","Low"
"Rainbow Shock","4.99","High"
"Random Go","2.99","Medium"
"Range Moonwalker","4.99","High"
"Reap Unfaithful","2.99","Medium"
"Rear Trading","0.99","Low"
"Rebel Airport","0.99","Low"
"Records Zorro","4.99","High"
"Redemption Comforts","2.99","Medium"
"Reds Pocus","4.99","High"
"Reef Salute","0.99","Low"
"Reign Gentlemen","2.99","Medium"
"Remember Diary","2.99","Medium"
"Requiem Tycoon","4.99","High"
"Reservoir Adaptation","2.99","Medium"
"Resurrection Silverado","0.99","Low"
"Reunion Witches","0.99","Low"
"Rider Caddyshack","2.99","Medium"
"Ridgemont Submarine","0.99","Low"
"Right Cranes","4.99","High"
"Rings Heartbreakers","0.99","Low"
"River Outlaw","0.99","Low"
"Road Roxanne","4.99","High"
"Robbers Joon","2.99","Medium"
"Robbery Bright","0.99","Low"
"Rock Instinct","0.99","Low"
"Rocketeer Mother","0.99","Low"
"Rocky War","4.99","High"
"Rollercoaster Bringing","2.99","Medium"
"Roman Punk","0.99","Low"
"Roof Champion","0.99","Low"
"Room Roman","0.99","Low"
"Roots Remember","0.99","Low"
"Roses Treasure","4.99","High"
"Rouge Squad","0.99","Low"
"Roxanne Rebel","0.99","Low"
"Rugrats Shakespeare","0.99","Low"
"Rules Human","4.99","High"
"Run Pacific","0.99","Low"
"Runaway Tenenbaums","0.99","Low"
"Runner Madigan","0.99","Low"
"Rushmore Mermaid","2.99","Medium"
"Sabrina Midnight","4.99","High"
"Saddle Antitrust","2.99","Medium"
"Sagebrush Clueless","2.99","Medium"
"Saints Bride","2.99","Medium"
"Salute Apollo","2.99","Medium"
"Samurai Lion","2.99","Medium"
"Santa Paris","2.99","Medium"
"Sassy Packer","0.99","Low"
"Satisfaction Confidential","4.99","High"
"Saturday Lambs","4.99","High"
"Saturn Name","4.99","High"
"Savannah Town","0.99","Low"
"Scalawag Duck","4.99","High"
"Scarface Bang","4.99","High"
"School Jacket","4.99","High"
"Scissorhands Slums","2.99","Medium"
"Ship Wonderland","2.99","Medium"
"Scorpion Apollo","4.99","High"
"Sea Virgin","2.99","Medium"
"Seabiscuit Punk","2.99","Medium"
"Searchers Wait","2.99","Medium"
"Seattle Expecations","4.99","High"
"Secret Groundhog","4.99","High"
"Secretary Rouge","4.99","High"
"Secrets Paradise","4.99","High"
"Sense Greek","4.99","High"
"Sensibility Rear","4.99","High"
"Seven Swarm","4.99","High"
"Shakespeare Saddle","2.99","Medium"
"Shane Darkness","2.99","Medium"
"Shanghai Tycoon","2.99","Medium"
"Shawshank Bubble","4.99","High"
"Shepherd Midsummer","0.99","Low"
"Shining Roses","0.99","Low"
"Shock Cabin","2.99","Medium"
"Shootist Superfly","0.99","Low"
"Show Lord","4.99","High"
"Shrek License","2.99","Medium"
"Shrunk Divine","2.99","Medium"
"Side Ark","0.99","Low"
"Siege Madre","0.99","Low"
